project_id,section_id,task_content,completed_at,deadline,description,due_date,duration
6f3qQ9HffpmC2pwh,,RENOVAR PAGO DOMINIO PBS,,"Deadline(date=datetime.date(2026, 1, 5), lang='en')",,None,
6f3qQCmvR9fm6mqW,,Hacer pre-ingeniería Pajaritos completo.,,,,None,
6f3qQHFrP9QP5qPw,,Sembrado de equipo,,,,None,
6f3qQWFj4wFVG2gC,,Solicitar apertura de VLAN para conexión de red.,,,,None,
6f3xjgfF4W3jhCFr,,Renovar dominio DLB,,,,2026-09-15,
6f3xvWPhpFHcJ9wM,,Día de la Revolución,,,,2025-11-17,
6f3xvP2834wFchpm,,Arrancar botoneras de Hikvision,,,,None,
6f4243m2GQHprHgV,,Subir tkt a R&D de problema con version 12,,,,2025-09-17,
6f424RP23PCrffqw,,Revisar y documentar el alcance de los camiones.,,,,2025-10-13,
6f424h3jXhCRC5x6,,"Solicitar licencias MCC, C5 NL",,,,None,
6f3gJHpVF5H6WwcR,,Cita Max,,,,2025-10-29,
6f9H5X4wVw6wc2MC,,"Escuela Max $20,000.00",,,,None,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Amaz restaurante / Peru,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Amazon.com: BenQ EX3501R 21:9 Ultrawide Curved QHD Monitor | 34 inch class (35 Inch) | HDR (3440 X 1440) | eye-care Tech | 100 Hz Refresh Rate and FreeSync for Gaming: Computers & Accessories]([https://www.amazon.com/BenQ-EX3501R-Multi-Tasking-Brightness-](https://www.amazon.com/BenQ-EX3501R-Multi-Tasking-Brightness-),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Basmati arroz pablo,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,BBQ POKINA INSTAGRAM,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,CascahuÃ­n Ocho,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJp36j7Q3C82,CURSO DE CINEMATOGRAFIA,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Antonio Gonzalez,,,,2026-06-06,
6f3q9rqqQqCV7WQh,,México Esclavizado - - - Fco Martín Moreno,,,,None,
6f3qfC6fM5qqGxf8,,DOODLY VIDEOS,,,,None,
6f3qPhr6R869hVHh,,API de Hikvision,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Crear tareas para facturas sin pagar,,,,None,
6f3qPHVHcqjV45wv,,OCR PYTHON,,,,None,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,Cédula de cableado,,,,None,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,Cédula de cableado,,,,None,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,Cédula de cableado,,,,None,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,Cédula de cableado,,,,None,
6f3qQ78G8Vh2h9w5,,TAIBO II - MADERO y la decena trágica (1 de 2),,,,None,
6f3qQ5WQMprv7xh8,,El vacio en Netflix.,,,,2025-08-23,
6f3qQ9HffpmC2pwh,,Cambiar cuentas correo para que Skinke sea la principal.,,,,None,
6f3qQHFrP9QP5qPw,,Revisión de planos,,,,None,
6f3qQWFj4wFVG2gC,,Configuración de botón.,,,,None,
6f3xvWPhpFHcJ9wM,,Día de la Virgen de Guadalupe,,,,2025-12-12,
6f3xv8Rc6p43Wj4Q,,Hacer cuenta de gastos,,,,2025-10-30,
6f424RP23PCrffqw,,Sacar licencias de Sintram 820,,,,None,
6f424h3jXhCRC5x6,,Facilitar el exportar los resultados de búsqueda de matrículas de forma ágil.,,,,None,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pagar gas natural.,,,[oscar.alanis@pbs.com.mx](mailto:oscar.alanis@pbs.com.mx) / gasalways196...,2025-12-13,
6f9H5X4wVw6wc2MC,,"Escuela Areli $24,000",,,,None,
6f3xvP2834wFchpm,,Correción de cámaras LPR el Barro,,,,2025-11-03,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[Annapurna Circuit - Wikipedia](https://en.m.wikipedia.org/wiki/Annapurna_Circuit) (Annapurna Circuit - Wikipedia),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Comprar colchoneta para acampar,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Monte xanic chenin colombard,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,DIPAO Valle de Bravo,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Reserva de los GonzÃ¡lez,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Jorge Arturo Dominguez,,,,2026-05-10,
6f3q9rqqQqCV7WQh,,Mossad libro,,,,None,
6f3qPhr6R869hVHh,,Agregar el administrador a las entregas de proyecto,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,SUBIR A BASE DE DATOS LISTA DE MATERIAL,,,,None,
6f3qPHVHcqjV45wv,,Profiler en carpeta securos.,,,,None,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,Tubería,,,,None,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,Tubería,,,,None,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,Tubería,,,,None,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,Tubería,,,,None,
6f3qQ78G8Vh2h9w5,,[De La Malinche a Porfirio Díaz: cuatro casas de CDMX que fueron habitadas por personajes históricos - Infobae]([https://www.infobae.com/america/mexico/2022/07/31/de-la-malinche-a-porfirio-diaz-cuatro-casas-de-cdmx-que-fueron-habitadas-por-personajes-histo](https://www.infobae.com/america/mexico/2022/07/31/de-la-malinche-a-porfirio-diaz-cuatro-casas-de-cdmx-que-fueron-habitadas-por-personajes-histo),,,,None,
6f3qQ5WQMprv7xh8,,Obtener CulturalAccess en LabUANL en Centro,,,,2025-10-18,
6f3qQ9HffpmC2pwh,,Cambiar dominio de usuarios a Skinke,,,,None,
6f3qQHFrP9QP5qPw,,Cedulas,,,,None,
6f3qQWFj4wFVG2gC,,On Customer / Apertura de puertos.,,,,None,
6f3xvWPhpFHcJ9wM,,Noche Buena,,,,2025-12-24,
6f3xv8Rc6p43Wj4Q,,Mandar reporte de pendientes a David,,,,2025-10-27,
6f4243m2GQHprHgV,,[4] Reunión de resultados #Oct 6,,,,2025-10-06,
6f424RP23PCrffqw,,Hacer pruebas de alcance con grabador Dahua.,,,,None,
6f424h3jXhCRC5x6,,"Permitir agregar marcadores, para realizar la búsqueda de eventos de manera rápida y eficientes.",,,,None,
6f9H5X4wVw6wc2MC,,Arreglar el carro,,,,None,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Arctic Fox Igloos,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Comprar PANTALONES TACTICOS,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Receta de Frijol con Puerco - Yucatan,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Don Macizo,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Serie Dirty Money,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Tesoro de don Felipe,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Ana Paula Leal,,,,2026-05-29,
6f3q9rqqQqCV7WQh,,Mujer en papel cecilia,,,,None,
6f3qPhr6R869hVHh,,Cambiar usuarios en un proyecto,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Buscar como regresar al index al terminar una función,,,,None,
6f3qQ5WQMprv7xh8,,Sacar cita alergologa Max.,,,,2025-10-16,
6f3qQ9HffpmC2pwh,,Certificación axis x CASJ,,,,None,
6f3qQHFrP9QP5qPw,,Trazado de tuberías,,,,None,
6f3xvWPhpFHcJ9wM,,Navidad,,,,2025-12-25,
6f3xv8Rc6p43Wj4Q,,Pagar google cloud,,,,2025-11-01,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Advanced On-site - México/Monterrey,,,,2025-10-28,
6f4243m2GQHprHgV,,[5] Desmontaje de cámara #Oct 8,,,,2025-10-08,
6f424RP23PCrffqw,,Pruebas con Vivotek,,,,None,
6f424h3jXhCRC5x6,,Proporcionar el IP de las cámaras para que el personal (en caso de ser necesario) pueda realizar un restablecimiento del dispositivo.,,,,None,
6f424rwJR7rJhXhQ,,Entregar protocolo de pruebas [C5 / SEMEX],,,,2025-10-01,
6f9H5X4wVw6wc2MC,,Hacer super mensual,,,,None,
6f3gJHpVF5H6WwcR,,Aniversario Esveidi Toks.,,,,2025-11-25,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Base en crimea,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Leatherman signal multitool,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Vino marsala,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Ir a comer ostras,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Lo que hacemos en la sombra,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Tierra Noble,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Alex Plancarte,,,,2026-06-24,
6f3q9rqqQqCV7WQh,,Patria,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,CREAR CLIENTE NUEVO,,,,None,
6f3qQ9HffpmC2pwh,,Cual es nuestro Sistema óptimo de ventas rentables,,,,None,
6f3qQHFrP9QP5qPw,,Limpieza de planos,,,,None,
6f3xvWPhpFHcJ9wM,,Fiesta de Fin de Año,,,,2025-12-31,
6f3xv8Rc6p43Wj4Q,,Revisar entrega de tarjeta Ramp.,,,,None,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Basic Virtual,,,,2025-10-31,
6f4243m2GQHprHgV,,[6] Entrega de equipo a personal de ISS #Oct 9,,,,2025-10-09,
6f424h3jXhCRC5x6,,Proporcionar un Dashbord en donde se muestre el total de cámaras y LPR (Lectores de Placas) tanto en línea como fuera de línea.. Permitir la manipulación más dinámica del sistema y ventanas que no sean fijas a un monitor.,,,,None,
6f9H5X4wVw6wc2MC,,Pagar gastos de departamento,,,,None,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Base submarina hara,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[mountain - Julbo.com](https://www.julbo.com/es_wo/gafas-de-sol/mountain),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""Corta el queso camembert y prepÃ¡rate para experimentar un Ã©xtasis"" on YouTube",,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,PiÃ±Ã³n y chispas menta helado,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Pelicula Heretic,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Ron Sta Teresa,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Hugo Laguna,,,,2026-06-05,
6f3q9rqqQqCV7WQh,,Salvador casanova MARAVILLOSA HISTORIA DEL TIEMPO Y SUS CIRCUNSTANCIAS,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Generar formato para minutas,,,,None,
6f3qQ9HffpmC2pwh,,Diseño de pagina PBS,,,,None,
6f3xv8Rc6p43Wj4Q,,Hacer reembolzo de Ramp.,,,,None,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Expert On-site - México/Monterrey,,,,2025-11-25,
6f424h3jXhCRC5x6,,No tiene sonido con alertas,,,,None,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,CabaÃ±as Patzcuaro,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Barmah Hats - Australia's Best Bush Hats](http://www.barmahhats.com.au/),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""Costra para Saborizar Carne! Receta de Locos X el Asado"" on YouTube",,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Restaurante de aviÃ³n en outlets,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"Pelicula Casualties of War"" (conocida como ""Pecados de Guerra""",,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Gerardo Maya,,,,2026-06-14,
6f3q9rqqQqCV7WQh,,SALVAR EL FUEGO GUILLERMO ARRIAGA,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Crear un BOT para relacionar las tareas de todois,,,,None,
6f3qQ9HffpmC2pwh,,"[Presentation shared with you: ""Presentación Diagrama Flujo Proyectos 2021""](https://mail.google.com/mail?extsrc=sync&client=docs&plid=ACUX6DPAD1UGdug826xD_HWdIkAwNJOeigG2a5s)",,,,None,
6f3xv8Rc6p43Wj4Q,,Revisar el password del 120_01,,,,None,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Basic Virtual,,,,2025-12-02,
6f424h3jXhCRC5x6,,Descargar grabaciones seleccionando recorrido en la barra del tiempo,,,,None,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,CaÃ±Ã³n monte morelos,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Leather Hats include Men's Barmah Squashy Kangaroo and Jacaru hats.](https://www.australiangear.com/mens/leather.html),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""La Chancha y los 20 - LA MEJOR HAMBURGUESA DEL MUNDO (Chef Marcos Di Cesare)"" on YouTube",,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Vinos Don Leo cabernet savignion Parras Coahuila,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,1\. Boyhood,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Arturo Arcos,,,,2026-06-09,
6f3q9rqqQqCV7WQh,,The long tail libro,,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Creating an Editable Webpage With Google Spreadsheets and Tabletop.js | CSS-Tricks,,,,None,
6f3qQ5WQMprv7xh8,,Pagar Adobe $150.00,,,,2025-11-01,
6f3qQ9HffpmC2pwh,,Revisar estatus Registro de marca PBS,,,,None,
6f422jmHj6Xc85jw,,MCA - Certification SecurOS Auto On-site - México/Monterrey,,,,2025-12-18,
6f424h3jXhCRC5x6,,Regresar a la cámara que se tenía previa,,,,None,
6f424rwJR7rJhXhQ,,Generar licencia temporal para el sistema [ISS].,,,,2025-10-03,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cascada caracol,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,[Pide Directo por Nuestra Web | Promos Exclusivas](https://sushiballs.pidedirecto.mx/),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,[Crumb (1994) - IMDb](https://www.imdb.com/title/tt0109508/),,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Emilio de Vero,,,,2026-01-23,
6f3q9rqqQqCV7WQh,,Una visita al siglo XIX Amazon,,,,None,
6f3qQ5WQMprv7xh8,,PAGO TEC,,,,2025-11-03,
6f422jmHj6Xc85jw,,MCA - Certification SecurOS FaceX On-site - México/Monterrey,,,,2025-12-19,
6f424h3jXhCRC5x6,,Permitir el control remoto de sesiones de niveles bajo supervisión,,,,None,
6f424rwJR7rJhXhQ,,Dar de alta licencia temporal en sistema [ISS]. m,,,,2025-10-03,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cenote tortuga,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Hochos de fime,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,12\. Carol,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos de Rigo,,,,2026-09-10,
6f3q9rqqQqCV7WQh,,LIBRO STORYTELLING,,,,None,
6f3qQ5WQMprv7xh8,,[TikTok - Make Your Day](https://vm.tiktok.com/ZMkRgfu5m/) Deducciones fiscales,,,,None,
6f424h3jXhCRC5x6,,Permitir visualizar múltiples grabaciones (fuera de formato evidence).,,,,None,
6f424rwJR7rJhXhQ,,Agregar servidores al cluster [ISS]. m,,,,2025-10-03,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cerro agujerado,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,14\. Zero Dark,,,,2025-10-30,
6f3h7r5p7QgWmhPp,,Cumpleanos Hugo Sanchez,,,,2026-09-17,
6f3q9rqqQqCV7WQh,,VENDEDORES PERROS,,,,None,
6f3qQ5WQMprv7xh8,,Caso wallas,,,,None,
6f424h3jXhCRC5x6,,"Permitir seleccionar cámaras por ID, para cambiarla directamente en el mosaico.",,,,None,
6f424rwJR7rJhXhQ,,Hacer pruebas de funcionamiento [ISS]. m,,,,2025-10-03,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Chable Yucatan !!,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,15\. A Separation,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Elizabeth,,,,2025-12-30,
6f3q9rqqQqCV7WQh,,Carta a D. de André Gorz,,,,None,
6f3qQ5WQMprv7xh8,,BUSCAR INFORMACION SOBRE Lucresia Vorgia,,,,None,
6f424h3jXhCRC5x6,,"Evitar falla que marca “dispositivo sin señal”, cuando realmente si transmiten señal.",,,,None,
6f424rwJR7rJhXhQ,,Crear usuarios en MCC [ISS]. m,,,,2025-10-13,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Chef Javier Wong,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,16\. Before Midnight,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos de Tamy,,,,2026-01-16,
6f3q9rqqQqCV7WQh,,Meditaciones de Março Aurelio,,,,None,
6f3qQ5WQMprv7xh8,,Fwd: New from Codecademy — Computer Science with Python: Data Structures,,,,None,
6f424h3jXhCRC5x6,,Disponer de un mapa general de cámaras integrado en el sistema.,,,,None,
6f424rwJR7rJhXhQ,,Crear permisos de usuarios en MCC [ISS]. m,,,,2025-10-06,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,COMER LANGOSTA EN ENSENADA BC,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,17\. 45 Years,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos de Vero,,,,2026-03-21,
6f3q9rqqQqCV7WQh,,[Libro el lenguaje del cuerpo](https://mail.google.com/mail?extsrc=sync&client=docs&plid=ACUX6DNomNnvuUajv1m3wdaNI9CoIC6DIpj_4IA),,,,None,
6f3qQ5WQMprv7xh8,,[CYCLONE](https://sillonhomeoffice.com/collections/cyclone),,,,None,
6f424h3jXhCRC5x6,,"Desplegar una ventana emergente con alertas de hit, y mejorar el tiempo del envío de la alerta.",,,,None,
6f424rwJR7rJhXhQ,,Crear estaciones de trabajo en MCC [ISS]. m,,,,2025-10-06,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Dessert cave hotel (AUSTRALIA),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,18\. The Manchurian Candidate,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Jorge Luis Caballero,,,,2026-04-01,
6f3q9rqqQqCV7WQh,,EL REPORTERO QUE ENTREVISTO A LA MUERTE: EN CUMPLIMIENTO DE SU DESTINO,,,,None,
6f3qQ5WQMprv7xh8,,Resina hipoxica,,,,None,
6f424h3jXhCRC5x6,,Facilitar la generación de listas de observación independientes.,,,,None,
6f424rwJR7rJhXhQ,,Crear escritorios para estaciones de trabajo [ISS]. m,,,,2025-10-06,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,El Burro Culto: la librerÃ­a secreta de la Ciudad de MÃ©xico,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,19\. Spirited Away,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos de Antonio González,,,,2026-06-06,
6f3q9rqqQqCV7WQh,,Popularity,,,,None,
6f3qQ5WQMprv7xh8,,"[Watch ""V. Completa. Así ve el mundo un matemático. Marcus du Sautoy, matemático y divulgador científico"" on YouTube](https://youtu.be/eAcf73ulv9E)",,,,None,
6f424h3jXhCRC5x6,,Facilitar la creación de escritorios de manera más eficiente.,,,,None,
6f424rwJR7rJhXhQ,,Revisión de funcionamiento de servidor de camiones [ISS]. m,,,,2025-10-06,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,isla de Saona,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,2\. Three Colors: Red,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos de Flor,,,,2026-06-10,
6f3q9rqqQqCV7WQh,,Miedo Absoluto de Jose Luis Trueba Lara,,,,None,
6f424h3jXhCRC5x6,,Habilitar un botón para screenshot.,,,,None,
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [ISS / SEMEX / C5]. m,,,,2025-10-06,
6f3qQ5WQMprv7xh8,,Update Disney+ account,,,,2025-12-05,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Isla v,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,21\. Killer of Sheep,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Bruno de Olga,,,,2026-06-21,
6f3q9rqqQqCV7WQh,,La conspiradora de barba,,,,None,
6f424h3jXhCRC5x6,,Permitir la configuración de modo Tour para todas las cámaras y permitir que las cámaras regresen al modo Tour después de ser manipuladas.,,,,None,
6f424rwJR7rJhXhQ,,Revisión de días de grabación [C5 / SEMEX / ISS]. m,,,,2025-10-07,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Mazamitla,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,22\. Mr. Turner,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Gerardo Alvarado (CBRE),,,,2026-06-23,
6f3q9rqqQqCV7WQh,,La guerra y la paz 10,,,,None,
6f424h3jXhCRC5x6,,"Permitir el acceso a sesiones remotas de Monitoreo, para supervisión.",,,,None,
6f424rwJR7rJhXhQ,,Solicitar ventana de actualización (4 horas) [C5].,,,,2025-10-08,
6f3qQ5WQMprv7xh8,,Recoger negativos de fotos en fotovida,,,,2025-10-19,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Parque aventura Boca de Tunel, Ags",,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,23\. The Hurt Locker,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Rocio Hernandez,,,,2026-04-08,
6f3q9rqqQqCV7WQh,,El nombre de la rosa Umberto Eco,,,,None,
6f424h3jXhCRC5x6,,Ampliar el campo de búsqueda (por folio) en las listas de observación.,,,,None,
6f424rwJR7rJhXhQ,,Actualizar servidor de configuración [ISS],,,,2025-10-09,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,SANTA ELENA ISLAND,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,24\. Toni Erdman,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Fernando Prieto,,,,2025-11-26,
6f3q9rqqQqCV7WQh,,Lolita,,,,None,
6f424h3jXhCRC5x6,,"Permitir una descarga de videos más práctica, así como permitir la descarga simultanea de cámaras y lapsos de tiempo independientes.",,,,None,
6f424rwJR7rJhXhQ,,Revisión de sistema funcionando correctamente [ISS].,,,,2025-10-09,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,"Tecolutla, un maravilloso destino de Veracruz | MÃ©xico Desconocido",,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,26\. Sideways,,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Brenda Gutierrez,,,,2025-12-18,
6f3q9rqqQqCV7WQh,,Cien años de soledad,,,,None,
6f424h3jXhCRC5x6,,Mostrar en un mapa con las cámaras cercanas al dispositivo donde se haya activado alguna alerta.,,,,None,
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [C5 / SEMEX / ISS].,,,,2025-10-10,
