project_id,section_id,task_content,completed_at,description,due,duration
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,BBQ POKINA INSTAGRAM,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,CascahuÃ­n Ocho,,,,
6f3ghJM7Mwh77PJ2,6f3gjJp36j7Q3C82,CURSO DE CINEMATOGRAFIA,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Antonio Gonzalez,,,"{'date': datetime.date(2026, 6, 6), 'timezone': None}",
6f3q9rqqQqCV7WQh,,México Esclavizado - - - Fco Martín Moreno,,,,
6f3qfC6fM5qqGxf8,,DOODLY VIDEOS,,,,
6f3qPhr6R869hVHh,,API de Hikvision,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Crear tareas para facturas sin pagar,,,,
6f3qPHVHcqjV45wv,,OCR PYTHON,,,,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,Cédula de cableado,,,,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,Cédula de cableado,,,,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,Cédula de cableado,,,,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,Cédula de cableado,,,,
6f3qQ78G8Vh2h9w5,,TAIBO II - MADERO y la decena trágica (1 de 2),,,,
6f3qQ5WQMprv7xh8,,El vacio en Netflix.,,,"{'date': datetime.date(2025, 11, 1), 'timezone': None}",
6f3qQ9HffpmC2pwh,,Cambiar cuentas correo para que Skinke sea la principal.,,,,
6f3qQHFrP9QP5qPw,,Revisión de planos,,,,
6f3qQWFj4wFVG2gC,,Configuración de botón.,,,,
6f3xvWPhpFHcJ9wM,,Día de la Virgen de Guadalupe,,,"{'date': datetime.date(2025, 12, 12), 'timezone': None}",
6f3xv8Rc6p43Wj4Q,,Hacer cuenta de gastos,,,"{'date': datetime.date(2025, 10, 31), 'timezone': None}",
6f424RP23PCrffqw,,Sacar licencias de Sintram 820,,,,
6f424h3jXhCRC5x6,,Facilitar el exportar los resultados de búsqueda de matrículas de forma ágil.,,,,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pagar gas natural.,,[oscar.alanis@pbs.com.mx](mailto:oscar.alanis@pbs.com.mx) / gasalways196...,"{'date': datetime.date(2025, 12, 13), 'timezone': None}",
6f9H5X4wVw6wc2MC,,"Escuela Areli $24,000",,,,
6f3xvP2834wFchpm,,Correción de cámaras LPR el Barro,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f3qMqW5vcr3XF3q,,Terminar instalación de SecurOS.,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,[Annapurna Circuit - Wikipedia](https://en.m.wikipedia.org/wiki/Annapurna_Circuit) (Annapurna Circuit - Wikipedia),,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Comprar colchoneta para acampar,,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Monte xanic chenin colombard,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,DIPAO Valle de Bravo,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Reserva de los GonzÃ¡lez,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Jorge Arturo Dominguez,,,"{'date': datetime.date(2026, 5, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Mossad libro,,,,
6f3qPhr6R869hVHh,,Agregar el administrador a las entregas de proyecto,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,SUBIR A BASE DE DATOS LISTA DE MATERIAL,,,,
6f3qPHVHcqjV45wv,,Profiler en carpeta securos.,,,,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,Tubería,,,,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,Tubería,,,,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,Tubería,,,,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,Tubería,,,,
6f3qQ78G8Vh2h9w5,,[De La Malinche a Porfirio Díaz: cuatro casas de CDMX que fueron habitadas por personajes históricos - Infobae]([https://www.infobae.com/america/mexico/2022/07/31/de-la-malinche-a-porfirio-diaz-cuatro-casas-de-cdmx-que-fueron-habitadas-por-personajes-histo](https://www.infobae.com/america/mexico/2022/07/31/de-la-malinche-a-porfirio-diaz-cuatro-casas-de-cdmx-que-fueron-habitadas-por-personajes-histo),,,,
6f3qQ5WQMprv7xh8,,Obtener CulturalAccess en LabUANL en Centro,,,"{'date': datetime.date(2025, 11, 1), 'timezone': None}",
6f3qQ9HffpmC2pwh,,Cambiar dominio de usuarios a Skinke,,,,
6f3qQHFrP9QP5qPw,,Cedulas,,,,
6f3qQWFj4wFVG2gC,,On Customer / Apertura de puertos.,,,,
6f3xvWPhpFHcJ9wM,,Noche Buena,,,"{'date': datetime.date(2025, 12, 24), 'timezone': None}",
6f3xv8Rc6p43Wj4Q,,Mandar reporte de pendientes a David,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f4243m2GQHprHgV,,[4] Reunión de resultados #Oct 6,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f424RP23PCrffqw,,Hacer pruebas de alcance con grabador Dahua.,,,,
6f424h3jXhCRC5x6,,"Permitir agregar marcadores, para realizar la búsqueda de eventos de manera rápida y eficientes.",,,,
6f9H5X4wVw6wc2MC,,Arreglar el carro,,,,
6f3qMqW5vcr3XF3q,,Revisar el pago con Alejandro,,,"{'date': datetime.date(2025, 10, 31), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Arctic Fox Igloos,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Comprar PANTALONES TACTICOS,,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Receta de Frijol con Puerco - Yucatan,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Don Macizo,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Serie Dirty Money,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Tesoro de don Felipe,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Ana Paula Leal,,,"{'date': datetime.date(2026, 5, 29), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Mujer en papel cecilia,,,,
6f3qPhr6R869hVHh,,Cambiar usuarios en un proyecto,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Buscar como regresar al index al terminar una función,,,,
6f3qQ5WQMprv7xh8,,Sacar cita alergologa Max.,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f3qQ9HffpmC2pwh,,Certificación axis x CASJ,,,,
6f3qQHFrP9QP5qPw,,Trazado de tuberías,,,,
6f3xvWPhpFHcJ9wM,,Navidad,,,"{'date': datetime.date(2025, 12, 25), 'timezone': None}",
6f3xv8Rc6p43Wj4Q,,Pagar google cloud,,,"{'date': datetime.date(2025, 11, 1), 'timezone': None}",
6f422jmHj6Xc85jw,,MCA - Certificación VMS Advanced On-site - México/Monterrey,,,"{'date': datetime.date(2025, 10, 28), 'timezone': None}",
6f4243m2GQHprHgV,,[5] Desmontaje de cámara #Oct 8,,,"{'date': datetime.date(2025, 10, 8), 'timezone': None}",
6f424RP23PCrffqw,,Pruebas con Vivotek,,,,
6f424h3jXhCRC5x6,,Proporcionar el IP de las cámaras para que el personal (en caso de ser necesario) pueda realizar un restablecimiento del dispositivo.,,,,
6f424rwJR7rJhXhQ,,Entregar protocolo de pruebas [C5 / SEMEX],,,"{'date': datetime.date(2025, 10, 1), 'timezone': None}",
6f9H5X4wVw6wc2MC,,Hacer super mensual,,,,
6f3gJHpVF5H6WwcR,,Aniversario Esveidi Toks.,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Base en crimea,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Leatherman signal multitool,,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Vino marsala,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Ir a comer ostras,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Lo que hacemos en la sombra,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Tierra Noble,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Alex Plancarte,,,"{'date': datetime.date(2026, 6, 24), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Patria,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,CREAR CLIENTE NUEVO,,,,
6f3qQ9HffpmC2pwh,,Cual es nuestro Sistema óptimo de ventas rentables,,,,
6f3qQHFrP9QP5qPw,,Limpieza de planos,,,,
6f3xvWPhpFHcJ9wM,,Fiesta de Fin de Año,,,"{'date': datetime.date(2025, 12, 31), 'timezone': None}",
6f3xv8Rc6p43Wj4Q,,Revisar entrega de tarjeta Ramp.,,,,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Basic Virtual,,,"{'date': datetime.date(2025, 10, 31), 'timezone': None}",
6f4243m2GQHprHgV,,[6] Entrega de equipo a personal de ISS #Oct 9,,,"{'date': datetime.date(2025, 10, 9), 'timezone': None}",
6f424h3jXhCRC5x6,,Proporcionar un Dashbord en donde se muestre el total de cámaras y LPR (Lectores de Placas) tanto en línea como fuera de línea.. Permitir la manipulación más dinámica del sistema y ventanas que no sean fijas a un monitor.,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Base submarina hara,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[mountain - Julbo.com](https://www.julbo.com/es_wo/gafas-de-sol/mountain),,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""Corta el queso camembert y prepÃ¡rate para experimentar un Ã©xtasis"" on YouTube",,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,PiÃ±Ã³n y chispas menta helado,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Pelicula Heretic,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,Ron Sta Teresa,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Hugo Laguna,,,"{'date': datetime.date(2026, 6, 5), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Salvador casanova MARAVILLOSA HISTORIA DEL TIEMPO Y SUS CIRCUNSTANCIAS,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Generar formato para minutas,,,,
6f3qQ9HffpmC2pwh,,Diseño de pagina PBS,,,,
6f3xv8Rc6p43Wj4Q,,Hacer reembolzo de Ramp.,,,,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Expert On-site - México/Monterrey,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",
6f424h3jXhCRC5x6,,No tiene sonido con alertas,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,CabaÃ±as Patzcuaro,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Barmah Hats - Australia's Best Bush Hats](http://www.barmahhats.com.au/),,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""Costra para Saborizar Carne! Receta de Locos X el Asado"" on YouTube",,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Restaurante de aviÃ³n en outlets,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,"Pelicula Casualties of War"" (conocida como ""Pecados de Guerra""",,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Gerardo Maya,,,"{'date': datetime.date(2026, 6, 14), 'timezone': None}",
6f3q9rqqQqCV7WQh,,SALVAR EL FUEGO GUILLERMO ARRIAGA,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Crear un BOT para relacionar las tareas de todois,,,,
6f3qQ9HffpmC2pwh,,"[Presentation shared with you: ""Presentación Diagrama Flujo Proyectos 2021""](https://mail.google.com/mail?extsrc=sync&client=docs&plid=ACUX6DPAD1UGdug826xD_HWdIkAwNJOeigG2a5s)",,,,
6f3xv8Rc6p43Wj4Q,,Revisar el password del 120_01,,,,
6f422jmHj6Xc85jw,,MCA - Certificación VMS Basic Virtual,,,"{'date': datetime.date(2025, 12, 2), 'timezone': None}",
6f424h3jXhCRC5x6,,Descargar grabaciones seleccionando recorrido en la barra del tiempo,,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,CaÃ±Ã³n monte morelos,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Leather Hats include Men's Barmah Squashy Kangaroo and Jacaru hats.](https://www.australiangear.com/mens/leather.html),,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,"Watch ""La Chancha y los 20 - LA MEJOR HAMBURGUESA DEL MUNDO (Chef Marcos Di Cesare)"" on YouTube",,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Vinos Don Leo cabernet savignion Parras Coahuila,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,1\. Boyhood,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Arturo Arcos,,,"{'date': datetime.date(2026, 6, 9), 'timezone': None}",
6f3q9rqqQqCV7WQh,,The long tail libro,,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,Creating an Editable Webpage With Google Spreadsheets and Tabletop.js | CSS-Tricks,,,,
6f3qQ5WQMprv7xh8,,Pagar Adobe $150.00,,,"{'date': datetime.date(2025, 11, 1), 'timezone': None}",
6f3qQ9HffpmC2pwh,,Revisar estatus Registro de marca PBS,,,,
6f422jmHj6Xc85jw,,MCA - Certification SecurOS Auto On-site - México/Monterrey,,,"{'date': datetime.date(2025, 12, 18), 'timezone': None}",
6f424h3jXhCRC5x6,,Regresar a la cámara que se tenía previa,,,,
6f424rwJR7rJhXhQ,,Generar licencia temporal para el sistema [ISS].,,,"{'date': datetime.date(2025, 10, 3), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cascada caracol,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,[Pide Directo por Nuestra Web | Promos Exclusivas](https://sushiballs.pidedirecto.mx/),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,[Crumb (1994) - IMDb](https://www.imdb.com/title/tt0109508/),,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Emilio de Vero,,,"{'date': datetime.date(2026, 1, 23), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Una visita al siglo XIX Amazon,,,,
6f3qQ5WQMprv7xh8,,PAGO TEC,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f422jmHj6Xc85jw,,MCA - Certification SecurOS FaceX On-site - México/Monterrey,,,"{'date': datetime.date(2025, 12, 19), 'timezone': None}",
6f424h3jXhCRC5x6,,Permitir el control remoto de sesiones de niveles bajo supervisión,,,,
6f424rwJR7rJhXhQ,,Dar de alta licencia temporal en sistema [ISS]. m,,,"{'date': datetime.date(2025, 10, 3), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cenote tortuga,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,Hochos de fime,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,12\. Carol,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Rigo,,,"{'date': datetime.date(2026, 9, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,LIBRO STORYTELLING,,,,
6f3qQ5WQMprv7xh8,,[TikTok - Make Your Day](https://vm.tiktok.com/ZMkRgfu5m/) Deducciones fiscales,,,,
6f424h3jXhCRC5x6,,Permitir visualizar múltiples grabaciones (fuera de formato evidence).,,,,
6f424rwJR7rJhXhQ,,Agregar servidores al cluster [ISS]. m,,,"{'date': datetime.date(2025, 10, 3), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cerro agujerado,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,14\. Zero Dark,,,"{'date': datetime.date(2025, 10, 30), 'timezone': None}",
6f3h7r5p7QgWmhPp,,Cumpleanos Hugo Sanchez,,,"{'date': datetime.date(2026, 9, 17), 'timezone': None}",
6f3q9rqqQqCV7WQh,,VENDEDORES PERROS,,,,
6f3qQ5WQMprv7xh8,,Caso wallas,,,,
6f424h3jXhCRC5x6,,"Permitir seleccionar cámaras por ID, para cambiarla directamente en el mosaico.",,,,
6f424rwJR7rJhXhQ,,Hacer pruebas de funcionamiento [ISS]. m,,,"{'date': datetime.date(2025, 10, 3), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Chable Yucatan !!,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,15\. A Separation,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Elizabeth,,,"{'date': datetime.date(2025, 12, 30), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Carta a D. de André Gorz,,,,
6f3qQ5WQMprv7xh8,,BUSCAR INFORMACION SOBRE Lucresia Vorgia,,,,
6f424h3jXhCRC5x6,,"Evitar falla que marca “dispositivo sin señal”, cuando realmente si transmiten señal.",,,,
6f424rwJR7rJhXhQ,,Crear usuarios en MCC [ISS]. m,,,"{'date': datetime.date(2025, 10, 13), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Chef Javier Wong,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,16\. Before Midnight,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Tamy,,,"{'date': datetime.date(2026, 1, 16), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Meditaciones de Março Aurelio,,,,
6f3qQ5WQMprv7xh8,,Fwd: New from Codecademy — Computer Science with Python: Data Structures,,,,
6f424h3jXhCRC5x6,,Disponer de un mapa general de cámaras integrado en el sistema.,,,,
6f424rwJR7rJhXhQ,,Crear permisos de usuarios en MCC [ISS]. m,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,COMER LANGOSTA EN ENSENADA BC,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,17\. 45 Years,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Vero,,,"{'date': datetime.date(2026, 3, 21), 'timezone': None}",
6f3q9rqqQqCV7WQh,,[Libro el lenguaje del cuerpo](https://mail.google.com/mail?extsrc=sync&client=docs&plid=ACUX6DNomNnvuUajv1m3wdaNI9CoIC6DIpj_4IA),,,,
6f3qQ5WQMprv7xh8,,[CYCLONE](https://sillonhomeoffice.com/collections/cyclone),,,,
6f424h3jXhCRC5x6,,"Desplegar una ventana emergente con alertas de hit, y mejorar el tiempo del envío de la alerta.",,,,
6f424rwJR7rJhXhQ,,Crear estaciones de trabajo en MCC [ISS]. m,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Dessert cave hotel (AUSTRALIA),,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,18\. The Manchurian Candidate,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Jorge Luis Caballero,,,"{'date': datetime.date(2026, 4, 1), 'timezone': None}",
6f3q9rqqQqCV7WQh,,EL REPORTERO QUE ENTREVISTO A LA MUERTE: EN CUMPLIMIENTO DE SU DESTINO,,,,
6f3qQ5WQMprv7xh8,,Resina hipoxica,,,,
6f424h3jXhCRC5x6,,Facilitar la generación de listas de observación independientes.,,,,
6f424rwJR7rJhXhQ,,Crear escritorios para estaciones de trabajo [ISS]. m,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,El Burro Culto: la librerÃ­a secreta de la Ciudad de MÃ©xico,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,19\. Spirited Away,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Antonio González,,,"{'date': datetime.date(2026, 6, 6), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Popularity,,,,
6f3qQ5WQMprv7xh8,,"[Watch ""V. Completa. Así ve el mundo un matemático. Marcus du Sautoy, matemático y divulgador científico"" on YouTube](https://youtu.be/eAcf73ulv9E)",,,,
6f424h3jXhCRC5x6,,Facilitar la creación de escritorios de manera más eficiente.,,,,
6f424rwJR7rJhXhQ,,Revisión de funcionamiento de servidor de camiones [ISS]. m,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,isla de Saona,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,2\. Three Colors: Red,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos de Flor,,,"{'date': datetime.date(2026, 6, 10), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Miedo Absoluto de Jose Luis Trueba Lara,,,,
6f424h3jXhCRC5x6,,Habilitar un botón para screenshot.,,,,
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [ISS / SEMEX / C5]. m,,,"{'date': datetime.date(2025, 10, 6), 'timezone': None}",
6f3qQ5WQMprv7xh8,,Update Disney+ account,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Isla v,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,21\. Killer of Sheep,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Bruno de Olga,,,"{'date': datetime.date(2026, 6, 21), 'timezone': None}",
6f3q9rqqQqCV7WQh,,La conspiradora de barba,,,,
6f424h3jXhCRC5x6,,Permitir la configuración de modo Tour para todas las cámaras y permitir que las cámaras regresen al modo Tour después de ser manipuladas.,,,,
6f424rwJR7rJhXhQ,,Revisión de días de grabación [C5 / SEMEX / ISS]. m,,,"{'date': datetime.date(2025, 10, 7), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Mazamitla,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,22\. Mr. Turner,,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Gerardo Alvarado (CBRE),,,"{'date': datetime.date(2026, 6, 23), 'timezone': None}",
6f3q9rqqQqCV7WQh,,La guerra y la paz 10,,,,
6f424h3jXhCRC5x6,,"Permitir el acceso a sesiones remotas de Monitoreo, para supervisión.",,,,
