project_id,section_id,task_content,completed_at,description,due,duration,completed_at_local_naive,due_date_str,due_date,project_name,parent_id,section_name,status
6f3qQ5WQMprv7xh8,,Update Disney+ account,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Revisión de días de grabación [C5 / SEMEX / ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Actualizar servidor de configuración [ISS],,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Revisión de sistema funcionando correctamente [ISS].,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [C5 / SEMEX / ISS].,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Actualizar servidores periféricos [ISS].,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Instalación de SecurOS en estaciones de trabajo [C5].,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qQ5WQMprv7xh8,,Sacar cita pasaporte Areli,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Revisión de funcionamiento de MCC y estaciones de trabajo [C5]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Revisar licencia Camiones,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qQ5WQMprv7xh8,,comprar botas de Areli,,,"{'date': datetime.date(2025, 11, 30), 'timezone': None}",,,2025-11-30,2025-11-30 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f3qQ5WQMprv7xh8,,Comprar extractor para cocina,,,"{'date': datetime.date(2025, 11, 29), 'timezone': None}",,,2025-11-29,2025-11-29 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f3h7r5p7QgWmhPp,,Cumpleanos de Jorge Caballero,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
